GeoName,FIPS,GDP Impact,State,Unemploy Rate,GO_yieldImpact,REV_yieldImpact,infectedPCT
"Adams, WA",53001,-0.030065943,WA,0.085517589,0.757396853,0.311600215,0.001501276
"Franklin, LA",22041,-0.021469754,LA,0.082517871,0.722445457,0.291678317,0.001498876
"Milwaukee, WI",55079,-0.04425555,WI,0.055324744,0.517565896,0.19306283,0.00149832
"Lake, IL",17097,-0.0622485,IL,0.048742569,0.481845662,0.215912281,0.001494541
"Upson, GA",13293,-0.027267596,GA,0.029935606,0.283741612,0.468769865,0.001481763
"Wyandotte, KS",20209,-0.029550065,KS,0.054451466,0.49382469,0.31144591,0.001480998
"Greene, AL",01063,-0.030757806,AL,0.042297859,0.392277707,0.413005505,0.001479472
"Bristol, MA",25005,-0.026061678,MA,0.089085202,0.78314786,0.400691639,0.001477309
"St. Louis (Independent City), MO",29510,0,MO,0.046852866,0.396645591,0.44331623,0.001477164
"Catahoula, LA",22025,-0.019524585,LA,0.082517871,0.720282993,0.218963876,0.001474616
"Erie, NY",36029,-0.039002895,NY,0.049713377,0.464221926,0.47228001,0.001464022
"Johnson, IN",18081,-0.04729039,IN,0.062111827,0.57839764,0.211438161,0.001454159
"Hartford, CT",09003,-0.036322363,CT,0.033279081,0.322112982,0.286366091,0.001446642
"Coahoma, MS",28027,-0.00692568,MS,0.029841954,0.260334465,0.363540586,0.001446393
"Prince George's, MD",24033,-0.033462731,MD,0.040513085,0.380175311,0.453325267,0.001440626
"Muscatine, IA",19139,-0.035846027,IA,0.059400467,0.542721077,0.45122864,0.001429777
"Hendricks, IN",18063,-0.054916134,IN,0.062111827,0.586875256,0.628368594,0.001426802
"Montour, PA",42093,-0.009122795,PA,0.123671112,1.057113092,0.243741976,0.001426221
"Oldham, TX",48359,0,TX,0.032499617,0.275134279,0.30260719,0.001420455
"Caldwell, LA",22021,-0.01064062,LA,0.082517871,0.710406601,0.298930927,0.001411575
"Pawnee, OK",40117,-0.030036942,OK,0.037996921,0.355065565,0.603014858,0.001404494
"Iberia, LA",22045,-0.026341397,LA,0.082517871,0.727861311,0.400775306,0.001389088
"Allamakee, IA",19005,-0.025882503,IA,0.059400467,0.531644528,0.376543153,0.001388179
"Acadia, LA",22001,-0.022479178,LA,0.082517871,0.723567643,0.354178982,0.001386091
"Mono, CA",06051,-0.089683588,CA,0.059779315,0.605780076,0.395493698,0.001384658
"Granville, NC",37077,-0.037306585,NC,0.052980406,0.489994033,0.471772627,0.001373195
"Sumter, AL",01119,-0.029616261,AL,0.042297859,0.39100864,0.360645952,0.001367989
"Davidson, TN",47037,-0.048433721,TN,0.040805298,0.399292516,0.41155035,0.00136283
"Hillsdale, MI",26059,-0.054243473,MI,0.090799137,0.82898762,0.238223625,0.0013595
"Crittenden, AR",05035,-0.029131717,AR,0.028738852,0.275682532,0.284215297,0.001355437
"Johnson, GA",13167,-0.014659688,GA,0.029935606,0.269725274,0.447701089,0.001348128
"Webster, MS",28155,-0.021710949,MS,0.029841954,0.276771395,0.367963007,0.001341728
"Mahoning, OH",39099,-0.034531422,OH,0.082694966,0.738465488,0.246236833,0.001333724
"Addison, VT",50001,-0.04111402,VT,0.056810732,0.526653456,0.287799324,0.001332354
"Webster, LA",22119,-0.038087417,LA,0.082517871,0.740919479,0.363179759,0.001330203
"Castro, TX",48069,-0.02120072,TX,0.032499617,0.298703331,0.281843057,0.001328021
"Will, IL",17197,-0.048552577,IL,0.048742569,0.466619766,0.235826909,0.001323213
"Kankakee, IL",17091,-0.037494627,IL,0.048742569,0.454326533,0.513369919,0.001319838
"St. Louis, MO",29189,-0.037954355,MO,0.046852866,0.438839826,0.233351387,0.001309589
"Skagit, WA",53057,-0.0610885,WA,0.085517589,0.79188494,0.240200941,0.001307999
"Lee, SC",45061,-0.019203429,SC,0.042045613,0.377297132,0.308351128,0.001307345
"Providence, RI",44007,-0.036844412,RI,0.117687823,1.037278341,0.362807964,0.001302175
"Coconino, AZ",04005,-0.037756091,AZ,0.034713808,0.335852935,0.624549167,0.001296384
"Bienville, LA",22013,-0.05216783,LA,0.082517871,0.756572814,0.481580158,0.001283891
"Yazoo, MS",28163,-0.01081353,MS,0.029841954,0.264656627,0.413516098,0.001279892
