FIPS,State,Name,COUNTY/TOWN,Bull,Base,Bear,RHG_HurrGDP_2020,RHG_HurrGDP_2030,RHG_HurrGDP_2040,RHG_HurrGDP_2050,RHG_HurrGDP_2060,RHG_HurrGDP_2070,RHG_HurrGDP_2080,RHG_HurrGDP_2090
28109,MS,Mississippi,Pearl River County,-0.023102109,-0.037269447,-0.068985592,0.016327095,0.025528417,0.037781603,0.052993658,0.063224264,0.073338911,0.08369243,0.092264046
28111,MS,Mississippi,Perry County,-0.006172006,-0.010286676,-0.020573353,0.014612707,0.022482172,0.03361863,0.048322089,0.058333396,0.066872283,0.076207455,0.082656379
28113,MS,Mississippi,Pike County,-0.025867065,-0.041522428,-0.075892795,0.01308671,0.021279511,0.033575033,0.047363852,0.05798833,0.06745445,0.077348314,0.086556244
28115,MS,Mississippi,Pontotoc County,-0.024307551,-0.039659346,-0.075479113,0.005983872,0.007980071,0.012237763,0.017675871,0.021881207,0.025706481,0.028476981,0.030020134
28117,MS,Mississippi,Prentiss County,-0.017145401,-0.027824813,-0.052270776,0.005902584,0.007450666,0.010269152,0.01472968,0.018140781,0.020978058,0.023769053,0.025415429
28119,MS,Mississippi,Quitman County,-0.003774228,-0.00629038,-0.012580759,0.004006663,0.006731928,0.010967429,0.015962422,0.020663912,0.02445779,0.0274389,0.029467986
28121,MS,Mississippi,Rankin County,-0.046594789,-0.074770777,-0.136549134,0.009184363,0.014759112,0.024751601,0.037188385,0.044908836,0.051494592,0.058937018,0.065263535
28123,MS,Mississippi,Scott County,-0.015796687,-0.025752512,-0.048916175,0.009509719,0.014430547,0.023531248,0.035304566,0.042635189,0.049145624,0.056194902,0.061383339
28125,MS,Mississippi,Sharkey County,0,0,0,0.006725884,0.01195699,0.019873557,0.02928878,0.036094883,0.042392794,0.048287213,0.05371764
28127,MS,Mississippi,Simpson County,-0.015200786,-0.024401402,-0.044603217,0.010181818,0.016678605,0.027410395,0.04052827,0.04953231,0.056786265,0.06460921,0.071724537
28129,MS,Mississippi,Smith County,-0.006426831,-0.010711385,-0.021422771,0.010669701,0.016515856,0.026782217,0.039613719,0.04789585,0.055109813,0.062906511,0.069388451
28131,MS,Mississippi,Stone County,-0.011250136,-0.01829868,-0.034565402,0.016638363,0.025275154,0.036743423,0.051903649,0.062303708,0.072063108,0.081801158,0.08906575
28133,MS,Mississippi,Sunflower County,-0.007636295,-0.012387838,-0.023248731,0.005084027,0.008817644,0.01459864,0.021618084,0.027461856,0.032269955,0.03683361,0.04060902
28135,MS,Mississippi,Tallahatchie County,-0.002138005,-0.003563341,-0.007126682,0.00483728,0.007753114,0.012717168,0.018777801,0.024346068,0.028257945,0.03174923,0.034413836
28137,MS,Mississippi,Tate County,-0.016508664,-0.026582093,-0.048968626,0.004344831,0.00671442,0.010093113,0.014433243,0.017751127,0.021226461,0.023699022,0.025758772
28139,MS,Mississippi,Tippah County,-0.021113561,-0.034176517,-0.063795654,0.005620334,0.00725121,0.010251663,0.014408018,0.017785355,0.020425445,0.02327648,0.024803779
28141,MS,Mississippi,Tishomingo County,-0.016162599,-0.026394072,-0.050341978,0.005593438,0.006966485,0.009848662,0.013823,0.016762832,0.019604955,0.022193691,0.023947265
28143,MS,Mississippi,Tunica County,-0.114490397,-0.180993738,-0.317781316,0.003623099,0.006256587,0.009751293,0.013460915,0.017187647,0.020599577,0.023003879,0.025045931
28145,MS,Mississippi,Union County,-0.023316099,-0.038105779,-0.072816818,0.006034138,0.007835696,0.01139844,0.016218683,0.0200887,0.023382576,0.025925604,0.02747342
28147,MS,Mississippi,Walthall County,-0.019092948,-0.030728731,-0.056539645,0.013772138,0.022177744,0.034166683,0.048573024,0.059125342,0.068518445,0.078304542,0.087786774
28149,MS,Mississippi,Warren County,-0.028317933,-0.045307665,-0.082115326,0.007979192,0.014318408,0.023906624,0.034725851,0.042734279,0.049990845,0.056715243,0.062020393
28151,MS,Mississippi,Washington County,-0.024919404,-0.039916334,-0.07256064,0.005797399,0.01010559,0.016776333,0.024723412,0.030815377,0.036095994,0.041932649,0.04613966
28153,MS,Mississippi,Wayne County,-0.0168835,-0.02720148,-0.050183372,0.013091159,0.019416489,0.030095172,0.043039693,0.051895241,0.059739737,0.068172506,0.073658978
28155,MS,Mississippi,Webster County,-0.016169924,-0.026283206,-0.049566405,0.006687612,0.009412979,0.015449045,0.022711268,0.027954503,0.032740052,0.037061959,0.039167707
28157,MS,Mississippi,Wilkinson County,-0.00406668,-0.0067778,-0.013555599,0.011224,0.020487705,0.032754934,0.046950814,0.056350748,0.066752721,0.075321697,0.08296475
28159,MS,Mississippi,Winston County,-0.015272916,-0.024728341,-0.046187345,0.00824292,0.011461842,0.018886863,0.027774757,0.03383671,0.03939138,0.044630889,0.047335115
28161,MS,Mississippi,Yalobusha County,-0.010537263,-0.017562105,-0.035124211,0.005442257,0.007941499,0.012913556,0.019161145,0.024007152,0.028087144,0.031417329,0.033803385
28163,MS,Mississippi,Yazoo County,-0.0123969,-0.020031096,-0.037225373,0.007243052,0.012251825,0.020896483,0.030586367,0.037833053,0.043543076,0.049736427,0.054621764
29001,MO,Missouri,Adair County,-0.03137149,-0.050152488,-0.090704995,0.002090418,0.002363275,0.002635951,0.002921008,0.002962357,0.003034125,0.003094358,0.003157277
29003,MO,Missouri,Andrew County,-0.034796635,-0.055835991,-0.101959181,0.001206389,0.001405939,0.001653784,0.001885248,0.001991501,0.002115018,0.002298432,0.002404943
29005,MO,Missouri,Atchison County,0,0,0,0.000352246,0.000588861,0.000869063,0.00104572,0.001163306,0.001329678,0.001512043,0.001666766
29007,MO,Missouri,Audrain County,-0.017012695,-0.027574878,-0.051641492,0.003108135,0.003637502,0.004098689,0.004584333,0.00464472,0.004644898,0.004962248,0.005292371
29009,MO,Missouri,Barry County,-0.01787387,-0.028978928,-0.05430901,0.003683342,0.00438475,0.005246026,0.00595505,0.006770934,0.007601539,0.008880061,0.010116511
29011,MO,Missouri,Barton County,-0.013655261,-0.022043399,-0.040867638,0.00310737,0.003561738,0.003934285,0.004336894,0.004853035,0.00539749,0.005981434,0.006627744
29013,MO,Missouri,Bates County,-0.013990963,-0.022484034,-0.041213993,0.002596648,0.002903262,0.003253708,0.003606959,0.003890844,0.004226613,0.004635748,0.005067366
29015,MO,Missouri,Benton County,-0.019120287,-0.030748611,-0.056463816,0.002909271,0.003385483,0.00384223,0.004306537,0.004551985,0.004842606,0.005262092,0.0056448
29017,MO,Missouri,Bollinger County,-0.005411327,-0.009018878,-0.018037757,0.003755925,0.004653947,0.005878443,0.007167286,0.007765144,0.008587993,0.009761689,0.010860363
29019,MO,Missouri,Boone County,-0.036329333,-0.058173889,-0.105660284,0.002844593,0.003274076,0.00376651,0.004310964,0.004320261,0.004453564,0.004657214,0.005032558
29021,MO,Missouri,Buchanan County,-0.02472138,-0.039852987,-0.073634066,0.001231393,0.001429699,0.001629683,0.001889424,0.001997906,0.00213369,0.002294154,0.00248401
29023,MO,Missouri,Butler County,-0.022937533,-0.036828177,-0.067351653,0.002987109,0.004269917,0.005674641,0.007213365,0.008213424,0.00944223,0.010736932,0.01226177
29025,MO,Missouri,Caldwell County,-0.00460513,-0.007675217,-0.015350434,0.001609391,0.001871576,0.002121577,0.002398824,0.002466443,0.00260273,0.002751819,0.002963294
29027,MO,Missouri,Callaway County,-0.011968545,-0.019247741,-0.035346224,0.003343881,0.003913909,0.004437369,0.005012087,0.005021738,0.005143616,0.005450079,0.005805703
29029,MO,Missouri,Camden County,-0.042215286,-0.067287014,-0.120750945,0.003177396,0.003743313,0.004377803,0.005107917,0.005257354,0.005602961,0.005988874,0.006570049
29031,MO,Missouri,Cape Girardeau County,-0.035036763,-0.056208453,-0.102579224,0.003722918,0.004626822,0.005796225,0.006947911,0.007711601,0.008490509,0.009613448,0.010807518
29033,MO,Missouri,Carroll County,-0.018545241,-0.029833035,-0.054825418,0.00213416,0.002527359,0.002837677,0.003204987,0.003289509,0.003494099,0.003683273,0.003855184
29035,MO,Missouri,Carter County,0,0,0,0.003351758,0.004543965,0.005752902,0.007104849,0.007976853,0.008940956,0.010217474,0.011527095
29037,MO,Missouri,Cass County,-0.022945953,-0.036993423,-0.068362603,0.002201274,0.002503909,0.002783463,0.003130432,0.003376052,0.003610246,0.003971373,0.004349709
29039,MO,Missouri,Cedar County,-0.014869,-0.023984272,-0.044380271,0.002875425,0.003296581,0.003682386,0.004141132,0.004546356,0.005069157,0.005600111,0.006243906
29041,MO,Missouri,Chariton County,-0.003987761,-0.006646268,-0.013292536,0.002276241,0.002626216,0.003015812,0.003430437,0.003464941,0.003614548,0.003746362,0.003944416
29043,MO,Missouri,Christian County,-0.030041151,-0.048278894,-0.08850418,0.003711906,0.004539986,0.005362194,0.006195954,0.006862686,0.007687702,0.008646149,0.00989718
29045,MO,Missouri,Clark County,-0.004034432,-0.006724054,-0.013448108,0.002633022,0.002947397,0.003232107,0.003563673,0.003560914,0.003624025,0.003723142,0.003869353
29047,MO,Missouri,Clay County,-0.040522704,-0.065109991,-0.119294664,0.001755779,0.001924003,0.002132675,0.00237617,0.002522526,0.002706603,0.002926486,0.003168098
29049,MO,Missouri,Clinton County,-0.023296082,-0.037582165,-0.069563461,0.001527502,0.001742998,0.001949844,0.002153234,0.002245247,0.002409989,0.002564501,0.002811885
29051,MO,Missouri,Cole County,-0.026483327,-0.042535393,-0.077855101,0.003265649,0.003793152,0.004376603,0.005037874,0.005077763,0.005236973,0.005601551,0.006048725
29053,MO,Missouri,Cooper County,-0.031158066,-0.049498812,-0.08805678,0.002723938,0.003183678,0.003567829,0.00410988,0.004249527,0.004324413,0.004577956,0.004901844
29055,MO,Missouri,Crawford County,-0.019922447,-0.032057792,-0.058957295,0.004202463,0.004847002,0.005715262,0.006626892,0.006928819,0.00747213,0.008204824,0.008996053
29057,MO,Missouri,Dade County,-0.004706438,-0.007844064,-0.015688128,0.003005983,0.003456996,0.003986231,0.004463791,0.004962116,0.005499843,0.006198888,0.006986852
29059,MO,Missouri,Dallas County,-0.01099903,-0.017840208,-0.033468626,0.003550126,0.004106638,0.004827612,0.005428344,0.005739639,0.00620682,0.006796423,0.007432352
29061,MO,Missouri,Daviess County,-0.004030248,-0.00671708,-0.013434161,0.001411258,0.001644533,0.001908601,0.002112779,0.00211554,0.002225101,0.002309333,0.002531904
29063,MO,Missouri,DeKalb County,-0.009698115,-0.015697414,-0.029297327,0.001296288,0.001517008,0.001748255,0.001965934,0.00204912,0.002187343,0.002288489,0.002487596
29065,MO,Missouri,Dent County,-0.010733918,-0.017310247,-0.032012224,0.004097234,0.004951582,0.005876168,0.006876951,0.007240617,0.007982208,0.008842221,0.009851912
29067,MO,Missouri,Douglas County,-0.002103927,-0.003432589,-0.006532378,0.004311265,0.005249867,0.006179429,0.00740889,0.008024948,0.008948865,0.010104739,0.011286132
29069,MO,Missouri,Dunklin County,-0.014469738,-0.023233645,-0.042495651,0.003161626,0.004690556,0.006303433,0.008204796,0.009744015,0.011196548,0.012930472,0.014723335
29071,MO,Missouri,Franklin County,-0.022398954,-0.036164158,-0.067074875,0.004150611,0.004801653,0.005512007,0.006285898,0.006481866,0.006853989,0.00744459,0.008118636
29073,MO,Missouri,Gasconade County,-0.021321253,-0.034435859,-0.063923682,0.003951339,0.004522735,0.005088243,0.005800914,0.005872682,0.00612522,0.006652234,0.007442181
29075,MO,Missouri,Gentry County,-0.005440289,-0.009067149,-0.018134298,0.00131417,0.001534886,0.001772175,0.001989217,0.00206851,0.002163157,0.002277271,0.002371844
29077,MO,Missouri,Greene County,-0.030708219,-0.049353928,-0.090488891,0.003539776,0.004149725,0.004894792,0.005584729,0.006074235,0.006807958,0.007634551,0.008455231
29079,MO,Missouri,Grundy County,-0.012867231,-0.021048127,-0.040308598,0.001840116,0.002090632,0.002335032,0.002647607,0.002676274,0.002744828,0.002780185,0.002872026
29081,MO,Missouri,Harrison County,-0.049092172,-0.078473037,-0.141883451,0.001489036,0.001749345,0.001986065,0.002167788,0.002158125,0.002213398,0.002307071,0.002412431
29083,MO,Missouri,Henry County,-0.018051523,-0.029016705,-0.053222165,0.002624129,0.003001271,0.003338434,0.003692482,0.00398658,0.004366569,0.004763304,0.005135187
29085,MO,Missouri,Hickory County,-0.002764944,-0.00460824,-0.009216479,0.002985719,0.003556468,0.004038752,0.004561197,0.004915224,0.005190585,0.005731916,0.006273116
29087,MO,Missouri,Holt County,0,0,0,0.000705452,0.000906886,0.001176309,0.001415,0.001527364,0.001651506,0.001751988,0.001931112
29089,MO,Missouri,Howard County,-0.004177342,-0.006962237,-0.013924475,0.002601138,0.002962339,0.003345396,0.003820147,0.003931372,0.004049843,0.004230757,0.004567091
29091,MO,Missouri,Howell County,-0.026043319,-0.04184878,-0.076692184,0.003885919,0.005021309,0.006190524,0.007701137,0.008434894,0.009627274,0.01082906,0.01211671
29093,MO,Missouri,Iron County,-0.008192113,-0.013232044,-0.024567438,0.003922841,0.00492935,0.005906532,0.006982603,0.00751293,0.008167203,0.009056527,0.010196714
